"","NestID","ActiveDate","ActiveTime","ActiveDateTime","FailDate","FailTime","FailDateTime","CollectDate","CollectTime","CollectDateTime","ElapsedTime","ElapsedDays","StudySite","Pasture","UTMzone","Easting_DNA","Northing_DNA","Comments","DNA_Type","DistFromNest","Barcode","Corvid_Allele1","Corvid_Allele1_Height","Corvid_Allele2","Corvid_Allele2_Height","SID_Allele1","SID_Allele1_Height","SID_Allele2","SID_Allele2_Height","SID_Allele3","SID_Allele3_Height","Detect_Total","Detect","NestFate","Precip","tmean","tmax","tmin"
"16","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"Swab",0,"2WZX8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,12.35,22.5,1.78
"17","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"EggShells",0,"IZZVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,12.35,22.5,1.78
"18","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"EggShells",0,"IZZWO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,12.35,22.5,1.78
"19","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"EggShells",0,"IZZWQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,12.35,22.5,1.78
"20","F5224N1_21","4/30/21","16:00","4/30/21 16:00","5/3/21",18:00:00,NA,"5/4/21",10:25:00,"5/4/21",3.77,4,"PAVA","Goldburg NW - Bear Creek",12,291199,4916291,NA,"Swab",0,"JZZXR",NA,NA,NA,NA,"Coyote",695,NA,NA,NA,NA,1,1,"Failed",0,12.35,22.5,1.78
"21","F5224N2_21","18-May-21","N/A","N/A","5/24/21",14:45:00,NA,"5/24/21",14:45:00,"5/24/21",6,6,"PAVA","Goldburg NW - Bear Creek",12,291358,4916421,NA,"Swab",0,"HZZX5","Magpie",11408,"Magpie",11428,"Coyote",531,NA,NA,NA,NA,3,1,"Failed",2.19,4.83,9.78,-0.13
"22","F5224N2_21","18-May-21","N/A","N/A","5/24/21",14:45:00,NA,"5/24/21",14:45:00,"5/24/21",6,6,"PAVA","Goldburg NW - Bear Creek",12,291358,4916421,NA,"Swab",0,"HZZX6","Magpie",11520,"Magpie",10998,NA,NA,NA,NA,NA,NA,2,1,"Failed",2.19,4.83,9.78,-0.13
"23","F5224N2_21","18-May-21","N/A","N/A","5/24/21",14:45:00,NA,"5/24/21",14:45:00,"5/24/21",6,6,"PAVA","Goldburg NW - Bear Creek",12,291358,4916421,NA,"Swab",0,"HZZX7","Magpie",11561,"Magpie",11660,NA,NA,NA,NA,NA,NA,2,1,"Failed",2.19,4.83,9.78,-0.13
"24","F5224N2_21","18-May-21","N/A","N/A","5/24/21",14:45:00,NA,"5/24/21",14:45:00,"5/24/21",6,6,"PAVA","Goldburg NW - Bear Creek",12,291358,4916421,NA,"Swab",0,"HZZX8","Magpie",11007,"Magpie",11213,NA,NA,NA,NA,NA,NA,2,1,"Failed",2.19,4.83,9.78,-0.13
"25","F5224N2_21","18-May-21","N/A","N/A","5/24/21",14:45:00,NA,"5/24/21",14:45:00,"5/24/21",6,6,"PAVA","Goldburg NW - Bear Creek",12,291358,4916421,NA,"EggShells",0,"IZZVG","Magpie",11333,"Magpie",11274,"Coyote",762,"Coyote",1045,NA,NA,4,1,"Failed",2.19,4.83,9.78,-0.13
"26","F5232N1_21","5/8/21","12:00","5/8/21 12:00","5/12/21",19:30:00,NA,"5/12/21",19:30:00,"5/12/21",4.31,4,"PAVA","Goldburg NW - Bear Creek",12,292864,4915581,NA,"Swab",15,"2WZVS","Magpie",11132,"Magpie",11115,NA,NA,NA,NA,NA,NA,2,1,"Failed",0.06,0.81,7.43,-5.94
"27","F5232N1_21","5/8/21","12:00","5/8/21 12:00","5/12/21",19:30:00,NA,"5/12/21",19:30:00,"5/12/21",4.31,4,"PAVA","Goldburg NW - Bear Creek",12,292864,4915581,NA,"Swab",0,"2WZW4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0.06,0.81,7.43,-5.94
"28","F5232N1_21","5/8/21","12:00","5/8/21 12:00","5/12/21",19:30:00,NA,"5/12/21",19:30:00,"5/12/21",4.31,4,"PAVA","Goldburg NW - Bear Creek",12,292864,4915581,NA,"Swab",0,"2WZWE","Raven",11305,"Raven",11192,NA,NA,NA,NA,NA,NA,2,1,"Failed",0.06,0.81,7.43,-5.94
"29","F5232N1_21","5/8/21","12:00","5/8/21 12:00","5/12/21",19:30:00,NA,"5/12/21",19:30:00,"5/12/21",4.31,4,"PAVA","Goldburg NW - Bear Creek",12,292864,4915581,NA,"Swab",0,"2WZWG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0.06,0.81,7.43,-5.94
"30","F5232N1_21","5/8/21","12:00","5/8/21 12:00","5/12/21",19:30:00,NA,"5/12/21",19:30:00,"5/12/21",4.31,4,"PAVA","Goldburg NW - Bear Creek",12,292864,4915581,NA,"Swab",0,"2WZWH","Raven",10866,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Failed",0.06,0.81,7.43,-5.94
"31","F5232N1_21","5/8/21","12:00","5/8/21 12:00","5/12/21",19:30:00,NA,"5/12/21",19:30:00,"5/12/21",4.31,4,"PAVA","Goldburg NW - Bear Creek",12,292864,4915581,NA,"Swab",0,"IZZVO","Magpie",3140,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Failed",0.06,0.81,7.43,-5.94
"32","F5232N1_21","5/8/21","12:00","5/8/21 12:00","5/12/21",19:30:00,NA,"5/12/21",19:30:00,"5/12/21",4.31,4,"PAVA","Goldburg NW - Bear Creek",12,292864,4915581,NA,"Swab",1,"JZZXZ","Raven",10624,"Raven",10739,NA,NA,NA,NA,NA,NA,2,1,"Failed",0.06,0.81,7.43,-5.94
"33","F5232N1_21","5/8/21","12:00","5/8/21 12:00","5/12/21",19:30:00,NA,"5/12/21",19:30:00,"5/12/21",4.31,4,"PAVA","Goldburg NW - Bear Creek",12,292864,4915581,NA,"Swab",0,"JZZY1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0.06,0.81,7.43,-5.94
"34","F5234N1_20","5/11/20","13:27","5/11/20 13:27","5/13/20",12:17:00,NA,"5/13/20",12:28:00,"5/13/20",1.96,2,"PAVA","Goldburg NW - Bear Creek",12,292118,4916238,NA,"EggShells",0,"2SZXJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,10.47,19.89,1.06
"35","F5234N1_20","5/11/20","13:27","5/11/20 13:27","5/13/20",12:17:00,NA,"5/13/20",12:28:00,"5/13/20",1.96,2,"PAVA","Goldburg NW - Bear Creek",12,292118,4916238,NA,"EggShells",0,"2SZXP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,10.47,19.89,1.06
"36","F5234N1_20","5/11/20","13:27","5/11/20 13:27","5/13/20",12:17:00,NA,"5/13/20",12:28:00,"5/13/20",1.96,2,"PAVA","Goldburg NW - Bear Creek",12,292118,4916238,NA,"Swab",0,"2XZZG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,10.47,19.89,1.06
"37","F5234N1_20","5/11/20","13:27","5/11/20 13:27","5/13/20",12:17:00,NA,"5/13/20",12:28:00,"5/13/20",1.96,2,"PAVA","Goldburg NW - Bear Creek",12,292118,4916238,NA,"Swab",0,"2XZZP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,10.47,19.89,1.06
"38","F5234N1_20","5/11/20","13:27","5/11/20 13:27","5/13/20",12:17:00,NA,"5/13/20",12:28:00,"5/13/20",1.96,2,"PAVA","Goldburg NW - Bear Creek",12,292118,4916238,NA,"Swab",0,"2XZZU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,10.47,19.89,1.06
"39","F5234N1_20","5/11/20","13:27","5/11/20 13:27","5/13/20",12:17:00,NA,"5/13/20",12:28:00,"5/13/20",1.96,2,"PAVA","Goldburg NW - Bear Creek",12,292118,4916238,NA,"EggShells",0,"2XZZY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,10.47,19.89,1.06
"40","F5234N1_20","5/11/20","13:27","5/11/20 13:27","5/13/20",12:17:00,NA,"5/13/20",12:28:00,"5/13/20",1.96,2,"PAVA","Goldburg NW - Bear Creek",12,292118,4916238,NA,"Swab",0,"2YZV9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,10.47,19.89,1.06
"41","F5234N1_20","5/11/20","13:27","5/11/20 13:27","5/13/20",12:17:00,NA,"5/13/20",12:28:00,"5/13/20",1.96,2,"PAVA","Goldburg NW - Bear Creek",12,292118,4916238,NA,"Swab",0,"2YZVC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,10.47,19.89,1.06
"42","F5234N1_20","5/11/20","13:27","5/11/20 13:27","5/13/20",12:17:00,NA,"5/13/20",12:28:00,"5/13/20",1.96,2,"PAVA","Goldburg NW - Bear Creek",12,292118,4916238,NA,"Swab",0,"2YZVF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,10.47,19.89,1.06
"43","F5235N1_20","5/21/20","22:00","5/21/20 22:00","5/22/20",21:15:00,NA,"5/22/20",21:15:00,"5/22/20",0.97,1,"PAVA","3-Corner",12,285812,4911485,NA,"Swab",0,"2XZWB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",9.65,5.61,9.17,2.06
"44","F5235N1_20","5/21/20","22:00","5/21/20 22:00","5/22/20",21:15:00,NA,"5/22/20",21:15:00,"5/22/20",0.97,1,"PAVA","3-Corner",12,285812,4911485,NA,"EggShells",0,"2XZWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",9.65,5.61,9.17,2.06
"45","F5235N1_20","5/21/20","22:00","5/21/20 22:00","5/22/20",21:15:00,NA,"5/22/20",21:15:00,"5/22/20",0.97,1,"PAVA","3-Corner",12,285812,4911485,NA,"EggShells",0,"2XZWT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",9.65,5.61,9.17,2.06
"46","F5235N1_20","5/21/20","22:00","5/21/20 22:00","5/22/20",21:15:00,NA,"5/22/20",21:15:00,"5/22/20",0.97,1,"PAVA","3-Corner",12,285812,4911485,NA,"EggShells",2,"2XZWU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",9.65,5.61,9.17,2.06
"47","F5242N1_20","5/15/20","9:00","5/15/20 9:00","5/18/20",12:00:00,NA,"5/18/20",13:00:00,"5/18/20",3.17,3,"PAVA","Goldburg NW - Bear Creek",12,292458,4916258,NA,"EggShells",0,"2SZXN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",4.03,7.07,13.07,1.1
"48","F5242N1_20","5/15/20","9:00","5/15/20 9:00","5/18/20",12:00:00,NA,"5/18/20",13:00:00,"5/18/20",3.17,3,"PAVA","Goldburg NW - Bear Creek",12,292458,4916258,NA,"EggShells",0,"2SZXO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",4.03,7.07,13.07,1.1
"49","F5242N1_20","5/15/20","9:00","5/15/20 9:00","5/18/20",12:00:00,NA,"5/18/20",13:00:00,"5/18/20",3.17,3,"PAVA","Goldburg NW - Bear Creek",12,292458,4916258,NA,"EggShells",0,"2SZXS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",4.03,7.07,13.07,1.1
"50","F5242N1_20","5/15/20","9:00","5/15/20 9:00","5/18/20",12:00:00,NA,"5/18/20",13:00:00,"5/18/20",3.17,3,"PAVA","Goldburg NW - Bear Creek",12,292458,4916258,NA,"Swab",0,"2SZY6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",4.03,7.07,13.07,1.1
"51","F5242N1_20","5/15/20","9:00","5/15/20 9:00","5/18/20",12:00:00,NA,"5/18/20",13:00:00,"5/18/20",3.17,3,"PAVA","Goldburg NW - Bear Creek",12,292458,4916258,NA,"Swab",0,"2XZZF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",4.03,7.07,13.07,1.1
"52","F5242N1_20","5/15/20","9:00","5/15/20 9:00","5/18/20",12:00:00,NA,"5/18/20",13:00:00,"5/18/20",3.17,3,"PAVA","Goldburg NW - Bear Creek",12,292458,4916258,NA,"Swab",0,"2YZVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",4.03,7.07,13.07,1.1
"53","F5242N1_20","5/15/20","9:00","5/15/20 9:00","5/18/20",12:00:00,NA,"5/18/20",13:00:00,"5/18/20",3.17,3,"PAVA","Goldburg NW - Bear Creek",12,292458,4916258,NA,"Swab",0,"2YZVB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",4.03,7.07,13.07,1.1
"54","F5242N1_20","5/15/20","9:00","5/15/20 9:00","5/18/20",12:00:00,NA,"5/18/20",13:00:00,"5/18/20",3.17,3,"PAVA","Goldburg NW - Bear Creek",12,292458,4916258,NA,"Swab",0,"2YZVD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",4.03,7.07,13.07,1.1
"55","F5242N1_20","5/15/20","9:00","5/15/20 9:00","5/18/20",12:00:00,NA,"5/18/20",13:00:00,"5/18/20",3.17,3,"PAVA","Goldburg NW - Bear Creek",12,292458,4916258,NA,"Swab",0,"2YZVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",4.03,7.07,13.07,1.1
"56","F5242N1_20","5/15/20","9:00","5/15/20 9:00","5/18/20",12:00:00,NA,"5/19/20",14:00:00,"5/18/20",3.17,4,"PAVA","Goldburg NW - Bear Creek",12,292458,4916258,NA,"Swab",0,"2YZVG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",4.03,7.07,13.07,1.1
"57","F5242N1_21","5/6/21","9:59","5/6/21 9:59","5/16/21",09:30:00,NA,"5/16/21",09:30:00,"5/16/21",9.98,10,"PAVA",NA,12,293376,4916237,NA,"Swab",8,"2WZW5",NA,NA,NA,NA,"Coyote",8655,"Coyote",6672,NA,NA,2,1,"Failed",2.54,10.26,17.86,2.54
"58","F5242N1_21","5/6/21","9:59","5/6/21 9:59","5/16/21",09:30:00,NA,"5/16/21",09:30:00,"5/16/21",9.98,10,"PAVA",NA,12,293376,4916237,NA,"Swab",8,"HZZWP","Magpie",11171,"Magpie",11164,"Coyote",552,NA,NA,NA,NA,3,1,"Failed",2.54,10.26,17.86,2.54
"59","F5242N1_21","5/6/21","9:59","5/6/21 9:59","5/16/21",09:30:00,NA,"5/16/21",09:30:00,"5/16/21",9.98,10,"PAVA",NA,12,293376,4916237,NA,"Swab",8,"HZZWQ","Magpie",11639,"Magpie",11462,NA,NA,NA,NA,NA,NA,2,1,"Failed",2.54,10.26,17.86,2.54
"60","F5242N1_21","5/6/21","9:59","5/6/21 9:59","5/16/21",09:30:00,NA,"5/16/21",09:30:00,"5/16/21",9.98,10,"PAVA",NA,12,293376,4916237,NA,"Swab",8,"HZZWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",2.54,10.26,17.86,2.54
"61","F5242N1_21","5/6/21","9:59","5/6/21 9:59","5/16/21",09:30:00,NA,"5/16/21",09:30:00,"5/16/21",9.98,10,"PAVA",NA,12,293376,4916237,NA,"EggShells",8,"IZZVU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",2.54,10.26,17.86,2.54
"62","F5242N1_21","5/6/21","9:59","5/6/21 9:59","5/16/21",09:30:00,NA,"5/16/21",09:30:00,"5/16/21",9.98,10,"PAVA",NA,12,293376,4916237,NA,"Swab",8,"JZZYT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",2.54,10.26,17.86,2.54
"63","F5242N1_21","5/6/21","9:59","5/6/21 9:59","5/16/21",09:30:00,NA,"5/16/21",09:30:00,"5/16/21",9.98,10,"PAVA",NA,12,293376,4916237,NA,"Swab",8,"JZZYU","Magpie",10701,"Magpie",10567,NA,NA,NA,NA,NA,NA,2,1,"Failed",2.54,10.26,17.86,2.54
"64","F5242N1_21","5/6/21","9:59","5/6/21 9:59","16-May-21",09:30:00,NA,"16-May-21",09:30:00,"15-May-21",8.98,10,"PAVA",NA,12,293376,4916237,NA,"EggShells",8,"IZZWJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",2.54,10.26,17.86,2.54
"65","F5246N1_20","5/24/20","9:00","5/24/20 9:00","5/27/20",16:15:00,NA,"5/27/20",17:45:00,"5/27/20",3.36,3,"PAVA","Goldburg NE - Big Gulch",12,295571,4914153,NA,"EggShells",0,"2XZWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,6.31,13.85,-1.24
"66","F5246N1_20","5/24/20","9:00","5/24/20 9:00","5/27/20",16:15:00,NA,"5/27/20",17:45:00,"5/27/20",3.36,3,"PAVA","Goldburg NE - Big Gulch",12,295571,4914153,NA,"Swab",1,"2XZX5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,6.31,13.85,-1.24
"67","F5246N1_20","5/24/20","9:00","5/24/20 9:00","5/27/20",16:15:00,NA,"5/27/20",17:45:00,"5/27/20",3.36,3,"PAVA","Goldburg NE - Big Gulch",12,295571,4914153,NA,"Swab",5,"2XZX9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,6.31,13.85,-1.24
"68","F5246N1_21","5/7/21","12:00","5/7/21 12:00","5/10/21",14:40:00,NA,"5/10/21",14:40:00,"5/10/21",3.11,3,"PAVA","Goldburg NE - Big Gulch",12,295515,4914206,NA,"Swab",0,"2WZVQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,6.15,15.19,-3.07
"69","F5246N1_21","5/7/21","12:00","5/7/21 12:00","5/10/21",14:40:00,NA,"5/10/21",14:40:00,"5/10/21",3.11,3,"PAVA","Goldburg NE - Big Gulch",12,295515,4914206,NA,"Swab",0,"JZZXS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,6.15,15.19,-3.07
"70","F5246N1_21","5/7/21","12:00","5/7/21 12:00","5/10/21",14:40:00,NA,"5/10/21",14:40:00,"5/10/21",3.11,3,"PAVA","Goldburg NE - Big Gulch",12,295515,4914206,NA,"Swab",0,"JZZXY",NA,NA,NA,NA,"Coyote",555,"Coyote",893,NA,NA,2,1,"Failed",0,6.15,15.19,-3.07
"71","F5246N1_21","5/7/21","12:00","5/7/21 12:00","5/10/21",14:40:00,NA,"5/10/21",14:40:00,"5/10/21",3.11,3,"PAVA","Goldburg NE - Big Gulch",12,295515,4914206,NA,"Swab",0,"JZZYQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,6.15,15.19,-3.07
"72","F5253N1_20","5/11/20","13:14","5/11/20 13:14","5/13/20",12:40:00,NA,"5/13/20",14:15:00,"5/13/20",2.04,2,"SHCR","(South) Tokum-Bambi East",12,602278,4658171,NA,"Swab",3,"2OZYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,15.61,24.72,6.47
"73","F5253N1_20","5/11/20","13:14","5/11/20 13:14","5/13/20",12:40:00,NA,"5/13/20",09:58:00,"5/13/20",1.86,2,"SHCR","(South) Tokum-Bambi East",12,602278,4658171,NA,"Swab",5,"2SZW8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,15.61,24.72,6.47
"74","F5253N1_20","5/11/20","13:14","5/11/20 13:14","5/13/20",12:40:00,NA,"5/13/20",09:58:00,"5/13/20",1.86,2,"SHCR","(South) Tokum-Bambi East",12,602278,4658171,NA,"Swab",4,"2SZWA","Raven",10533,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Failed",0,15.61,24.72,6.47
"75","F5261N1_20","4/27/20","12:02","4/27/20 12:02","4/29/20",15:44:00,NA,"4/30/20",10:01:00,"4/30/20",2.92,3,"SHCR","(South) Tokum-Bambi East",12,602278,4657852,NA,"Swab",0,"2OZZ7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,11.77,20.27,3.27
"76","F5261N1_20","4/27/20","12:02","4/27/20 12:02","4/29/20",15:44:00,NA,"4/30/20",10:01:00,"4/30/20",2.92,3,"SHCR","(South) Tokum-Bambi East",12,602278,4657852,NA,"Swab",1,"2OZZ8",NA,NA,NA,NA,"Coyote",1361,NA,NA,NA,NA,1,1,"Failed",0,11.77,20.27,3.27
"77","F5261N1_20","4/27/20","12:02","4/27/20 12:02","4/29/20",15:44:00,NA,"4/30/20",10:01:00,"4/30/20",2.92,3,"SHCR","(South) Tokum-Bambi East",12,602278,4657852,NA,"Swab",1,"2SZVX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,11.77,20.27,3.27
"78","F5276N1_20","4/25/20","16:45","4/25/20 16:45","4/28/20",10:00:00,NA,"4/28/20",13:05:00,"4/28/20",2.85,3,"BIBU","Frenchman North",12,332200,4810995,NA,"Swab",1,"2SZW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Failed",0,8.19,17.11,-0.72
